,price,resid_area,air_qual,room_num,age,dist1,teachers,n_hos_beds,parks,airport_NO,airport_YES,poor_prop_log,crime_rate_log
0,24.0,32.31,0.538,6.575,65.2,4.35,24.7,5.48,0.049347306,0,1,1.7884205679625405,0.006300112548479956
1,21.6,37.07,0.469,6.421,78.9,4.99,22.2,7.332,0.046145633,1,0,2.316487998163037,0.02694373544754613
2,34.7,37.07,0.469,7.185,61.1,5.03,22.2,7.394,0.045763966,1,0,1.6154199841116479,0.02692426693786002
3,33.4,32.18,0.458,6.998,45.8,6.21,21.3,9.268,0.047150598,0,1,1.3711807233098425,0.0318571299356596
4,36.2,32.18,0.458,7.147,54.2,6.16,21.3,8.824,0.039474005,1,0,1.8453002361560848,0.06677040363385242
5,28.7,32.18,0.458,6.43,58.7,6.22,21.3,7.174,0.045909647,0,1,1.8261608959453874,0.02941316056834955
6,22.9,37.87,0.524,6.012,66.6,5.87,24.8,6.958,0.052169908,0,1,2.5974910105351463,0.08460765703482562
7,22.1,37.87,0.524,6.172,96.1,6.04,24.8,5.842,0.057074901,1,0,3.0032042883926917,0.1350115466558769
8,16.5,37.87,0.524,5.631,100.0,6.18,24.8,5.93,0.056302495,0,1,3.4317265866969784,0.19164462825480608
9,18.9,37.87,0.524,6.004,85.9,6.67,24.8,9.478,0.050727252,0,1,2.89591193827178,0.15703793625945522
10,15.0,37.87,0.524,6.377,94.3,6.65,24.8,6.0,0.057775258,1,0,3.065724645374026,0.20285104404642815
11,18.9,37.87,0.524,6.009,82.9,6.27,24.8,9.278,0.055236508,1,0,2.658159431488745,0.11106720150765234
12,21.7,37.87,0.524,5.889,39.0,5.76,24.8,5.534,0.057423248,0,1,2.8160073426073025,0.0896395868849593
13,20.4,38.14,0.538,5.949,61.8,4.72,19.0,5.908,0.053463955,0,1,2.225704048658088,0.4884327647141028
14,18.2,38.14,0.538,6.096,84.5,4.6,19.0,6.964,0.059882129,1,0,2.421256622711544,0.49345156510828403
15,19.9,38.14,0.538,5.834,56.5,4.6,19.0,8.498,0.059750758,0,1,2.248128907197987,0.4869775044907407
16,23.1,38.14,0.538,5.935,29.3,4.66,19.0,5.462,0.054698587,1,0,2.0255131996542803,0.7197550310814291
17,17.5,38.14,0.538,5.99,81.7,4.56,19.0,5.45,0.05478547,1,0,2.7517480563679295,0.5789701354975461
18,20.2,38.14,0.538,5.456,36.6,3.8,19.0,8.504,0.054250839,0,1,2.540814281726296,0.5892910882451726
19,18.2,38.14,0.538,5.727,69.5,3.98,19.0,8.564,0.057770199,1,0,2.5079719227189963,0.5456907110920701
20,13.6,38.14,0.538,5.57,98.1,3.93,19.0,8.272,0.048317527,0,1,3.091951131294534,0.8117254554853012
21,19.6,38.14,0.538,5.965,89.2,4.11,19.0,9.192,0.054040555,0,1,2.696652156149841,0.6162877342628866
22,15.2,38.14,0.538,6.142,91.7,4.18,19.0,5.804,0.057413663,0,1,2.9816333491744893,0.8031085958282844
23,14.5,38.14,0.538,5.813,100.0,4.35,19.0,7.49,0.052609397,0,1,3.038791763014438,0.687345382632109
24,15.6,38.14,0.538,5.924,94.1,4.69,19.0,8.212,0.050109252,0,1,2.8507065015037334,0.5597643483283524
25,13.9,38.14,0.538,5.599,85.7,4.69,19.0,9.378,0.051585152,0,1,2.8627721462977607,0.6100590068254428
26,16.6,38.14,0.538,5.813,90.3,4.94,19.0,9.732,0.04753336,1,0,2.7606426512213806,0.5139666854625483
27,14.8,38.14,0.538,6.047,88.8,4.5,19.0,8.696,0.048746294,0,1,2.905807566026004,0.6707839777866772
28,18.4,38.14,0.538,6.495,94.4,4.57,19.0,5.968,0.054327375,0,1,2.624668592163159,0.5726673869182407
29,21.0,38.14,0.538,6.674,87.3,4.53,19.0,9.02,0.048769785,1,0,2.563409711275944,0.6943714308596382
30,12.7,38.14,0.538,5.713,94.1,4.52,19.0,9.854,0.058542025,1,0,3.1612467120315646,0.7565021891227189
31,14.5,38.14,0.538,6.072,100.0,4.39,19.0,9.29,0.052254284,0,1,2.641910398597665,0.8564218244336657
32,13.2,38.14,0.538,5.95,82.0,4.01,19.0,8.764,0.053285159,1,0,3.3572454941329726,0.8704520079168976
33,13.1,38.14,0.538,5.701,95.0,3.8,19.0,8.362,0.057017179,0,1,2.962692419475791,0.7662675223101358
34,13.5,38.14,0.538,6.096,96.9,4.07,19.0,9.67,0.049603305,0,1,3.060583245873607,0.9604300978281597
35,18.9,35.96,0.499,5.933,68.2,3.69,20.8,9.478,0.052911735,0,1,2.3683728335320486,0.062195152592967116
36,20.0,35.96,0.499,5.841,61.4,3.39,20.8,7.5,0.045356817,1,0,2.5185025992165158,0.09298019476887417
37,21.0,35.96,0.499,5.85,41.5,3.98,20.8,8.12,0.050974724,0,1,2.2793164660546914,0.07709066236456363
38,24.2,35.96,0.499,5.966,30.2,4.15,20.8,8.184,0.048389259,0,1,2.4096441652874536,0.16131069988225022
39,30.8,32.95,0.428,6.595,21.8,5.65,21.7,6.916,0.045051199,0,1,1.6714733033535532,0.027255180066451504
40,34.9,32.95,0.428,7.024,15.8,5.63,21.7,6.198,0.042761796,0,1,1.091923300517313,0.033038179076797375
41,26.6,36.91,0.448,6.77,2.9,5.77,22.1,7.732,0.04943941,1,0,1.7647307968401356,0.11994957590111856
42,25.3,36.91,0.448,6.169,6.6,5.93,22.1,8.106,0.041829995,1,0,1.918392120161421,0.13234318698771314
43,24.7,36.91,0.448,6.211,6.5,6.04,22.1,6.094,0.044818593,0,1,2.132982308607866,0.1478681287245753
44,21.2,36.91,0.448,6.069,40.0,5.81,22.1,9.024,0.039936942,1,0,2.3561258599220753,0.1157275913439704
45,19.3,36.91,0.448,5.682,33.8,5.23,22.1,8.086,0.044495948,1,0,2.4168062370840686,0.1582166881149534
46,20.0,36.91,0.448,5.786,33.3,5.25,22.1,9.3,0.045462478,0,1,2.7180005319553784,0.17257420533907467
47,16.6,36.91,0.448,6.03,85.5,5.83,22.1,5.332,0.052566062,0,1,2.9856819377004897,0.20642049726093958
48,14.4,36.91,0.448,5.399,95.3,5.98,22.1,7.088,0.042666167,1,0,3.4597807057610526,0.22623476857524036
49,19.4,36.91,0.448,5.602,62.0,6.11,22.1,5.988,0.050609653,1,0,2.8449093838194073,0.19866231638200693
50,19.7,35.64,0.439,5.963,45.7,7.08,23.2,7.9990000000000006,0.040388562,0,1,2.670694414558441,0.08501187932583917
51,20.5,35.64,0.439,6.115,63.0,7.04,23.2,7.01,0.047270246,0,1,2.344686269012681,0.042455859036392304
52,25.0,35.64,0.439,6.511,21.1,7.02,23.2,9.9,0.046151955,1,0,1.8373699804801074,0.052212871446934324
53,23.4,35.64,0.439,5.998,21.4,6.89,23.2,9.168,0.041560598,1,0,2.2438960966453663,0.048609195414622164
54,18.9,34.0,0.41,5.888,47.6,7.4,18.9,8.678,0.038684066,0,1,2.760009940032921,0.0135083500247923
55,35.4,31.22,0.403,7.249,21.9,8.9,22.1,7.508,0.047984816,0,1,1.7595805708638197,0.013024807722689411
56,24.7,30.74,0.41,6.383,35.7,9.32,22.7,5.794,0.038214107,0,1,1.9125010869241836,0.020341697657914628
