,Suburb,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,Melbourne,1,u,436000.0,S,RT,23/04/2016,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8159,144.972,Northern Metropolitan,17496.0
1,Melbourne,1,u,440000.0,S,Harcourts,22/08/2016,2.8,3000.0,1.0,1.0,1.0,0.0,65.0,1920.0,Melbourne,-37.8168,144.9691,Northern Metropolitan,17496.0
2,Melbourne,2,u,520000.0,VB,Greg,19/11/2016,2.8,3000.0,1.0,1.0,1.0,4051.0,68.0,2005.0,Melbourne,-37.8072,144.9623,Northern Metropolitan,17496.0
3,Melbourne,1,u,700000.0,VB,Castran,19/11/2016,2.8,3000.0,1.0,1.0,1.0,0.0,64.0,1920.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
4,Melbourne,3,u,610000.0,S,Pagan,18/06/2016,2.8,3000.0,3.0,2.0,0.0,0.0,,,Melbourne,-37.8114,144.961,Northern Metropolitan,17496.0
5,Melbourne,2,u,483000.0,S,Greg,18/03/2017,2.8,3000.0,1.0,1.0,1.0,0.0,68.0,2004.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
6,Melbourne,2,u,650000.0,VB,Elite,18/03/2017,2.8,3000.0,2.0,1.0,1.0,0.0,92.0,,Melbourne,-37.8138,144.952,Northern Metropolitan,17496.0
7,Melbourne,2,u,470000.0,VB,Greg,18/03/2017,2.8,3000.0,2.0,1.0,2.0,0.0,55.0,1917.0,Melbourne,-37.816,144.9535,Northern Metropolitan,17496.0
8,Melbourne,1,u,680000.0,S,MICM,17/09/2016,2.8,3000.0,1.0,1.0,2.0,0.0,102.0,1965.0,Melbourne,-37.8132,144.9545,Northern Metropolitan,17496.0
9,Melbourne,1,u,375000.0,PI,LITTLE,15/10/2016,2.8,3000.0,1.0,1.0,0.0,1414.0,47.0,2014.0,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496.0
10,Melbourne,2,u,540000.0,PI,Harcourts,29/07/2017,0.0,3000.0,2.0,1.0,0.0,0.0,,1950.0,Melbourne,-37.81351,144.96908,Northern Metropolitan,17496.0
11,Melbourne,2,u,565000.0,S,MICM,29/07/2017,0.0,3000.0,2.0,1.0,0.0,89.0,85.0,2003.0,Melbourne,-37.80802,144.96168,Northern Metropolitan,17496.0
12,Melbourne,3,u,750000.0,S,Greg,15/10/2016,2.8,3000.0,3.0,2.0,1.0,0.0,122.0,1998.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
13,Melbourne,2,u,720000.0,S,Harcourts,27/05/2017,0.0,3000.0,2.0,1.0,1.0,0.0,86.0,1976.0,Melbourne,-37.81267,144.96273,Northern Metropolitan,17496.0
14,Melbourne,1,u,427000.0,S,Harcourts,3/12/2016,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8111,144.9715,Northern Metropolitan,17496.0
15,Melbourne,1,u,210000.0,VB,Greg,13/08/2016,2.8,3000.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8078,144.961,Northern Metropolitan,17496.0
16,Melbourne,1,u,432000.0,S,LITTLE,13/08/2016,2.8,3000.0,1.0,1.0,1.0,0.0,51.0,2005.0,Melbourne,-37.8111,144.9715,Northern Metropolitan,17496.0
17,Melbourne,1,u,450000.0,VB,Dingle,12/11/2016,2.8,3000.0,1.0,1.0,0.0,0.0,57.0,1960.0,Melbourne,-37.8178,144.9607,Northern Metropolitan,17496.0
18,Melbourne,2,u,545000.0,SP,Greg,12/11/2016,2.8,3000.0,2.0,1.0,1.0,0.0,67.0,2002.0,Melbourne,-37.8188,144.9544,Northern Metropolitan,17496.0
19,Melbourne,2,u,671000.0,SP,MICM,10/12/2016,2.8,3000.0,2.0,1.0,1.0,0.0,,,Melbourne,-37.8089,144.967,Northern Metropolitan,17496.0
20,Melbourne,1,u,659000.0,S,Harcourts,10/09/2016,2.8,3000.0,1.0,1.0,1.0,0.0,59.0,2006.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
21,Melbourne,1,u,386000.0,S,Dingle,10/09/2016,2.8,3000.0,1.0,1.0,0.0,0.0,64.0,1976.0,Melbourne,-37.8127,144.9627,Northern Metropolitan,17496.0
22,Melbourne,2,u,665000.0,S,Purplebricks,7/11/2016,2.8,3000.0,2.0,1.0,1.0,0.0,80.0,2004.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
23,Melbourne,2,u,360000.0,VB,LITTLE,7/11/2016,2.8,3000.0,2.0,1.0,0.0,0.0,66.0,1974.0,Melbourne,-37.8138,144.9548,Northern Metropolitan,17496.0
24,Melbourne,2,u,450000.0,VB,MICM,7/11/2016,2.8,3000.0,2.0,1.0,1.0,0.0,55.0,2014.0,Melbourne,-37.8091,144.9609,Northern Metropolitan,17496.0
25,Melbourne,2,u,1075000.0,SP,Melbourne,8/07/2017,0.0,3000.0,2.0,2.0,1.0,0.0,,,Melbourne,-37.81141,144.95879,Northern Metropolitan,17496.0
26,Melbourne,2,u,535000.0,S,HAR,7/05/2016,2.8,3000.0,2.0,1.0,1.0,0.0,84.0,2001.0,Melbourne,-37.808,144.9617,Northern Metropolitan,17496.0
27,Melbourne,2,u,780000.0,SP,Galldon,4/06/2016,2.8,3000.0,2.0,2.0,1.0,0.0,85.0,1997.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
28,Melbourne,2,u,1160500.0,S,Kay,4/03/2017,2.8,3000.0,2.0,2.0,1.0,4230.0,,2006.0,Melbourne,-37.8157,144.9727,Northern Metropolitan,17496.0
29,Melbourne,1,u,400000.0,VB,Greg,13/08/2016,2.8,3000.0,1.0,1.0,1.0,0.0,,2005.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
30,Melbourne,2,u,740000.0,VB,MICM,17/06/2017,0.0,3000.0,2.0,1.0,1.0,0.0,113.0,1999.0,Melbourne,-37.81317,144.95452,Northern Metropolitan,17496.0
31,Melbourne,2,u,387000.0,S,Galldon,15/07/2017,0.0,3000.0,2.0,1.0,0.0,0.0,47.0,2011.0,Melbourne,-37.81301,144.96924,Northern Metropolitan,17496.0
32,Melbourne,2,u,675000.0,VB,Kay,24/09/2016,2.8,3000.0,2.0,2.0,1.0,0.0,,2014.0,Melbourne,-37.8161,144.9712,Northern Metropolitan,17496.0
33,Melbourne,1,u,432000.0,S,Greg,6/05/2017,2.8,3000.0,1.0,1.0,1.0,0.0,,2001.0,Melbourne,-37.8116,144.9603,Northern Metropolitan,17496.0
34,Melbourne,4,u,1850000.0,VB,hockingstuart,8/04/2017,2.8,3000.0,4.0,2.0,1.0,0.0,213.0,1938.0,Melbourne,-37.8177,144.9544,Northern Metropolitan,17496.0
35,Melbourne,2,u,733000.0,S,MICM,24/09/2016,2.8,3000.0,2.0,2.0,1.0,0.0,94.0,1965.0,Melbourne,-37.8166,144.9635,Northern Metropolitan,17496.0
36,Melbourne,2,u,452000.0,S,RT,13/05/2017,2.8,3000.0,2.0,1.0,0.0,0.0,60.0,2006.0,Melbourne,-37.8084,144.9602,Northern Metropolitan,17496.0
37,Melbourne,3,u,895000.0,S,hockingstuart,22/04/2017,2.8,3000.0,3.0,2.0,3.0,0.0,,,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
38,Melbourne,1,u,275000.0,VB,Whiting,22/04/2017,2.8,3000.0,1.0,1.0,0.0,0.0,52.0,2000.0,Melbourne,-37.8199,144.9558,Northern Metropolitan,17496.0
39,Melbourne,2,u,683000.0,S,MICM,22/04/2017,2.8,3000.0,2.0,2.0,1.0,1136.0,88.0,2009.0,Melbourne,-37.8211,144.9559,Northern Metropolitan,17496.0
40,Melbourne,2,u,640000.0,VB,Greg,22/04/2017,2.8,3000.0,2.0,1.0,1.0,0.0,66.0,2005.0,Melbourne,-37.8106,144.9646,Northern Metropolitan,17496.0
41,Melbourne,1,u,333000.0,SP,Biggin,8/04/2017,2.8,3000.0,1.0,1.0,0.0,0.0,41.0,2010.0,Melbourne,-37.8122,144.9582,Northern Metropolitan,17496.0
42,Melbourne,2,u,390000.0,PI,Dingle,30/07/2016,2.8,3000.0,2.0,1.0,1.0,1751.0,,2012.0,Melbourne,-37.8077,144.9668,Northern Metropolitan,17496.0
43,Melbourne,2,u,360000.0,VB,Dingle,28/08/2016,2.8,3000.0,1.0,1.0,1.0,1136.0,69.0,2009.0,Melbourne,-37.8211,144.9559,Northern Metropolitan,17496.0
44,Melbourne,3,u,760000.0,S,hockingstuart,28/05/2016,2.8,3000.0,2.0,2.0,1.0,0.0,89.0,1997.0,Melbourne,-37.8095,144.9691,Northern Metropolitan,17496.0
45,Melbourne,3,h,1630000.0,S,Dingle,25/02/2017,2.8,3000.0,3.0,2.0,0.0,95.0,,,Melbourne,-37.8092,144.967,Northern Metropolitan,17496.0
46,East Melbourne,1,u,503000.0,S,Biggin,8/04/2017,1.5,3002.0,1.0,1.0,1.0,0.0,,,Melbourne,-37.8161,144.9845,Northern Metropolitan,3040.0
47,East Melbourne,1,u,750000.0,SP,Caine,28/05/2016,1.5,3002.0,2.0,1.0,0.0,0.0,46.0,1930.0,Melbourne,-37.8136,144.9892,Northern Metropolitan,3040.0
48,East Melbourne,2,u,1300000.0,SP,Caine,12/08/2017,1.3,3002.0,2.0,2.0,1.0,997.0,92.0,2001.0,Melbourne,-37.8161,144.98494,Northern Metropolitan,3040.0
49,East Melbourne,1,u,630000.0,SP,Caine,25/02/2017,1.5,3002.0,1.0,1.0,1.0,0.0,,,Melbourne,-37.8168,144.9787,Northern Metropolitan,3040.0
50,East Melbourne,2,u,900000.0,SP,Caine,25/02/2017,1.5,3002.0,2.0,1.0,1.0,0.0,,,Melbourne,-37.8154,144.9851,Northern Metropolitan,3040.0
51,East Melbourne,1,u,565000.0,SP,Caine,24/09/2016,1.5,3002.0,1.0,1.0,0.0,0.0,,,Melbourne,-37.8153,144.9868,Northern Metropolitan,3040.0
52,East Melbourne,2,u,700000.0,PI,Harcourts,22/08/2016,1.5,3002.0,2.0,2.0,1.0,0.0,65.0,1970.0,Melbourne,-37.8153,144.9842,Northern Metropolitan,3040.0
53,East Melbourne,4,h,1475000.0,S,Frank,18/06/2016,1.5,3002.0,2.0,1.0,1.0,179.0,,,Melbourne,-37.8099,144.9879,Northern Metropolitan,3040.0
54,East Melbourne,2,u,1935000.0,SP,Nelson,16/07/2016,1.5,3002.0,2.0,2.0,2.0,0.0,150.0,2010.0,Melbourne,-37.8127,144.9847,Northern Metropolitan,3040.0
55,East Melbourne,1,u,1015000.0,S,Caine,8/10/2016,1.5,3002.0,1.0,1.0,1.0,0.0,,,Melbourne,-37.8136,144.9892,Northern Metropolitan,3040.0
